City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,upington,-28.4478,21.2561,8.21,57,0,0.51,ZA,1690411192
259,gonabad,34.3529,58.6837,26.97,29,0,2.17,IR,1690411193
260,kuching,1.55,110.3333,25.55,93,20,1.54,MY,1690411193
261,fortuna,40.5982,-124.1573,21.63,69,0,6.17,US,1690410911
262,vilyuchinsk,52.9306,158.4028,21.15,73,100,1.46,RU,1690410738
263,pangody,65.85,74.4859,19.68,65,97,3.08,RU,1690410741
264,naze,28.3667,129.4833,27.51,82,100,6.97,JP,1690410767
265,kanggye,40.9695,126.5852,22.89,95,99,0.51,KP,1690411193
266,kattivakkam,13.2167,80.3167,28.05,77,100,9.17,IN,1690410903
267,beira,-19.8436,34.8389,18.05,94,20,1.54,MZ,1690411193
268,woolgoolga,-30.1106,153.2007,10.93,59,19,1.16,AU,1690411194
269,nova sintra,14.8667,-24.7167,22.86,87,53,6.06,CV,1690410798
270,shangqiu,34.45,115.65,25.6,85,12,2.88,CN,1690411118
271,al kharijah,25.4514,30.5464,32.32,18,100,2.81,EG,1690410988
272,niafunke,15.9322,-3.9906,33.86,37,95,7.06,ML,1690411194
273,hoi an,15.8794,108.335,25.98,80,100,2.69,VN,1690410904
274,grand gaube,-20.0064,57.6608,19.22,74,96,2.53,MU,1690411194
275,sungjibaegam,41.2428,128.7989,18.66,83,67,2.08,KP,1690411194
276,buala,-8.145,159.5921,26.91,85,100,3.13,SB,1690410903
277,fort st. john,56.2499,-120.8529,14.94,88,100,5.14,CA,1690410792
278,chengde,40.9725,117.9361,23.29,92,99,0.9,CN,1690410907
279,uddevalla,58.3478,11.9424,13.37,94,100,1.79,SE,1690411195
280,diego de almagro,-26.3667,-70.05,14.62,59,25,1.97,CL,1690411195
281,alaghsas,17.0187,8.0168,31.76,38,52,3.52,NE,1690410756
282,box elder,41.5005,-112.8764,29.95,30,30,2.1,US,1690410912
283,alofi,-19.0595,-169.9187,23.94,69,75,1.54,NU,1690410748
284,bougouni,11.417,-7.479,25.5,80,99,2.47,ML,1690411195
285,luderitz,-26.6481,15.1594,12.8,71,0,4.01,NA,1690410817
286,kargil,34.5667,76.1,14.81,60,49,1.77,IN,1690411195
287,flying fish cove,-10.4217,105.6791,24.82,83,100,5.14,CX,1690410777
288,ambovombe,-25.1667,46.0833,17.99,59,0,6.58,MG,1690410911
289,mulchen,-37.7167,-72.2333,9.92,92,100,0.92,CL,1690410672
